"list_og","list_sort","N","cor_pos","target_letter","rewMag","Ndist","editDistance","N_filler","effort_q"
"L H J","HJL",3,2,"J","79 pts",1,2,0,0
"D J F H L N P","DFHJLNP",7,7,"P","65 pts",1,2,0,0
"H J L N P T V R","HJLNPRTV",8,3,"L","49 pts",1,2,0,1
"G K M O I Q S U W","GIKMOQSUW",9,3,"K","70 pts",1,2,0,0
"K G I","GIK",3,2,"I","26 pts",1,2,0,0
"L P R N","LNPR",4,1,"L","69 pts",1,2,0,1
"M O Q K","KMOQ",4,2,"M","55 pts",1,2,0,1
"F H D","DFH",3,2,"F","85 pts",1,2,0,1
"P R N T","NPRT",4,3,"R","81 pts",1,2,0,0
"F H J L V P R T N","FHJLNPRTV",9,3,"J","60 pts",1,2,0,0
"M K I O","IKMO",4,2,"K","87 pts",1,2,0,0
"E G I K S M O Q","EGIKMOQS",8,1,"E","66 pts",1,2,0,0
"H J L N V R T P","HJLNPRTV",8,8,"V","71 pts",1,2,0,0
"S M O Q","MOQS",4,2,"O","31 pts",1,2,0,0
"R T P","PRT",3,3,"T","52 pts",1,2,0,0
"E G K I M Q O S U","EGIKMOQSU",9,7,"Q","12 pts",1,2,0,1
"F H J L R N P T","FHJLNPRT",8,4,"L","40 pts",1,2,0,1
"F J L H N P","FHJLNP",6,6,"P","15 pts",1,2,0,1
"E G K M O Q I S U","EGIKMOQSU",9,7,"Q","61 pts",1,2,0,1
"I G E K M O Q","EGIKMOQ",7,6,"O","53 pts",1,2,0,0
"D F H J N P R T L","DFHJLNPRT",9,3,"H","77 pts",1,2,0,1
"F H J L D N","DFHJLN",6,6,"N","78 pts",1,2,0,1
"L J H N P R T V","HJLNPRTV",8,2,"J","52 pts",1,2,0,0
"I M O Q K","IKMOQ",5,1,"I","74 pts",1,2,0,1
"E G I K O M S Q U","EGIKMOQSU",9,9,"U","69 pts",1,2,0,0
"L D F H J N P R T","DFHJLNPRT",9,5,"L","87 pts",1,2,0,0
"K M O Q I","IKMOQ",5,1,"I","49 pts",1,2,0,1
"I K M G O Q","GIKMOQ",6,5,"O","72 pts",1,2,0,1
"M I K","IKM",3,1,"I","43 pts",1,2,0,0
"F H J L T N P R V","FHJLNPRTV",9,5,"N","23 pts",1,2,0,0
"H D F J L N","DFHJLN",6,4,"J","60 pts",1,2,0,0
"G I M K Q O S U","GIKMOQSU",8,1,"G","12 pts",1,2,0,0
"F H L J N P R V T","FHJLNPRTV",9,6,"P","89 pts",1,2,0,1
"H J L N T R P","HJLNPRT",7,3,"L","50 pts",1,2,0,1
"E G K M O Q I","EGIKMOQ",7,7,"Q","82 pts",1,2,0,0
"J H L N R P","HJLNPR",6,4,"N","82 pts",1,2,0,1
"O I K M G Q S U","GIKMOQSU",8,5,"O","83 pts",1,2,0,1
