"list_og","list_sort","N","cor_pos","target_letter","rewMag","Ndist","editDistance","N_filler","effort_q"
"G I K Q O M S U","GIKMOQSU",8,4,"M","66 pts",1,2,0,1
"G K M O Q S I U","GIKMOQSU",8,2,"I","45 pts",1,2,0,0
"F N H J L P","FHJLNP",6,5,"N","41 pts",1,2,0,1
"I G E","EGI",3,3,"I","83 pts",1,2,0,0
"D N H J L F P","DFHJLNP",7,1,"D","17 pts",1,2,0,0
"O Q S M U","MOQSU",5,2,"O","70 pts",1,2,0,0
"M Q S O U","MOQSU",5,1,"M","28 pts",1,2,0,0
"M Q O S W U","MOQSUW",6,5,"U","79 pts",1,2,0,1
"H J F L N P R T V","FHJLNPRTV",9,9,"V","21 pts",1,2,0,0
"H L N P R J","HJLNPR",6,5,"P","71 pts",1,2,0,0
"G K M O Q I","GIKMOQ",6,6,"Q","49 pts",1,2,0,0
"J L T P R N V","JLNPRTV",7,6,"T","51 pts",1,2,0,1
"K M S Q O U","KMOQSU",6,1,"K","70 pts",1,2,0,0
"E G I K M U O Q S","EGIKMOQSU",9,1,"E","58 pts",1,2,0,1
"E G I U M O Q S K","EGIKMOQSU",9,1,"E","68 pts",1,2,0,1
"L D F H J N P","DFHJLNP",7,6,"N","64 pts",1,2,0,1
"L J H","HJL",3,3,"L","71 pts",1,2,0,0
"D F H L N P R T J","DFHJLNPRT",9,9,"T","60 pts",1,2,0,1
"G I E K","EGIK",4,2,"G","29 pts",1,2,0,1
"P R T N","NPRT",4,4,"T","85 pts",1,2,0,1
"E G I K M S O Q U","EGIKMOQSU",9,7,"Q","16 pts",1,2,0,0
"L N T R P","LNPRT",5,2,"N","81 pts",1,2,0,0
"O G I K M E Q S","EGIKMOQS",8,3,"I","32 pts",1,2,0,1
"R L N P","LNPR",4,2,"N","81 pts",1,2,0,0
"E G U I K M O Q S","EGIKMOQSU",9,2,"G","79 pts",1,2,0,1
"G I K O Q M S U","GIKMOQSU",8,2,"I","36 pts",1,2,0,1
"D J F H","DFHJ",4,2,"F","76 pts",1,2,0,0
"J H L P N","HJLNP",5,3,"L","71 pts",1,2,0,1
"O M K","KMO",3,1,"K","21 pts",1,2,0,0
"K O M S Q","KMOQS",5,1,"K","23 pts",1,2,0,0
"F H J P N L R T","FHJLNPRT",8,4,"L","75 pts",1,2,0,1
"E G O I K M Q","EGIKMOQ",7,1,"E","33 pts",1,2,0,0
"H F L J N P R T","FHJLNPRT",8,4,"L","49 pts",1,2,0,0
"E G I K M Q O U S","EGIKMOQSU",9,8,"S","64 pts",1,2,0,1
"Q K M O","KMOQ",4,2,"M","36 pts",1,2,0,1
"D F J H N L P R","DFHJLNPR",8,7,"P","79 pts",1,2,0,1
"N J L H P R T","HJLNPRT",7,3,"L","60 pts",1,2,0,0
"J L H","HJL",3,3,"L","80 pts",1,2,0,1
"M O Q W U S","MOQSUW",6,2,"O","21 pts",1,2,0,1
"D F H J R N P L T","DFHJLNPRT",9,5,"L","17 pts",1,2,0,0
"L N P R J T","JLNPRT",6,6,"T","54 pts",1,2,0,0
"F H J D L N P R T","DFHJLNPRT",9,9,"T","82 pts",1,2,0,1
"T P R","PRT",3,3,"T","58 pts",1,2,0,0
"E G I M O K","EGIKMO",6,1,"E","29 pts",1,2,0,1
"M G I K O Q S","GIKMOQS",7,1,"G","44 pts",1,2,0,0
"F H L N J","FHJLN",5,5,"N","29 pts",1,2,0,1
"F D J H L","DFHJL",5,4,"J","62 pts",1,2,0,1
"Q M O","MOQ",3,2,"O","72 pts",1,2,0,1
"F J H L N R P T","FHJLNPRT",8,7,"R","27 pts",1,2,0,0
"L N P J","JLNP",4,3,"N","25 pts",1,2,0,1
"O M S Q","MOQS",4,4,"S","59 pts",1,2,0,1
"H T J L N P R V","HJLNPRTV",8,7,"T","18 pts",1,2,0,0
"R N P","NPR",3,3,"R","57 pts",1,2,0,0
"G K M I","GIKM",4,4,"M","73 pts",1,2,0,0
"G I K O Q S U M W","GIKMOQSUW",9,7,"S","61 pts",1,2,0,0
