"list_og","list_sort","N","cor_pos","target_letter","rewMag","Ndist","editDistance","N_filler","effort_q"
"F H T L N P R J V","FHJLNPRTV",9,1,"F","87 pts",1,2,0,1
"L N P R T V J","JLNPRTV",7,2,"L","79 pts",1,2,0,0
"E G I M O K Q S U","EGIKMOQSU",9,6,"O","26 pts",1,2,0,1
"E G O K M I","EGIKMO",6,5,"M","67 pts",1,2,0,0
"E G I M O Q S K","EGIKMOQS",8,4,"K","78 pts",1,2,0,1
"S I K M O Q G U","GIKMOQSU",8,4,"M","17 pts",1,2,0,1
"G K I M O Q U S W","GIKMOQSUW",9,9,"W","65 pts",1,2,0,1
"R L N P","LNPR",4,2,"N","50 pts",1,2,0,1
"R P N","NPR",3,1,"N","67 pts",1,2,0,1
"E G I U K M O Q S","EGIKMOQSU",9,2,"G","57 pts",1,2,0,0
"G I K Q O M S U W","GIKMOQSUW",9,4,"M","49 pts",1,2,0,1
"L P N T R V","LNPRTV",6,2,"N","21 pts",1,2,0,0
"G E I K O M Q S","EGIKMOQS",8,4,"K","21 pts",1,2,0,0
"I K M Q S U O W","IKMOQSUW",8,6,"S","38 pts",1,2,0,0
"O E G I K M","EGIKMO",6,1,"E","28 pts",1,2,0,1
"K I G","GIK",3,1,"G","79 pts",1,2,0,0
"I K M G O Q","GIKMOQ",6,3,"K","79 pts",1,2,0,0
"G I E","EGI",3,3,"I","78 pts",1,2,0,0
"J L N R P V T","JLNPRTV",7,3,"N","41 pts",1,2,0,0
"J L T N P R","JLNPRT",6,1,"J","22 pts",1,2,0,0
"K Q M O","KMOQ",4,1,"K","11 pts",1,2,0,0
"L J H N","HJLN",4,3,"L","24 pts",1,2,0,1
"E G M K I O","EGIKMO",6,4,"K","49 pts",1,2,0,1
"D F H J T N P R L","DFHJLNPRT",9,8,"R","71 pts",1,2,0,0
"D F H L N P J","DFHJLNP",7,1,"D","63 pts",1,2,0,1
"I K Q O M S","IKMOQS",6,1,"I","43 pts",1,2,0,1
"P R T N","NPRT",4,2,"P","36 pts",1,2,0,1
"I Q K M O","IKMOQ",5,4,"O","11 pts",1,2,0,1
"D F H L J P N R T","DFHJLNPRT",9,4,"J","23 pts",1,2,0,0
"O Q M S","MOQS",4,3,"Q","82 pts",1,2,0,0
"E G K I M Q O","EGIKMOQ",7,7,"Q","31 pts",1,2,0,0
"K O Q M","KMOQ",4,4,"Q","27 pts",1,2,0,1
"F P J L N H R T","FHJLNPRT",8,3,"J","41 pts",1,2,0,0
