"list_og","list_sort","N","cor_pos","target_letter","rewMag","Ndist","editDistance","N_filler","effort_q"
"G I K U O Q S M W","GIKMOQSUW",9,2,"I","40 pts",1,2,0,1
"G I Q M O K S","GIKMOQS",7,2,"I","24 pts",1,2,0,0
"T N P R L","LNPRT",5,3,"P","60 pts",1,2,0,0
"G I M O K Q","GIKMOQ",6,1,"G","77 pts",1,2,0,0
"N L J P R T V","JLNPRTV",7,3,"N","12 pts",1,2,0,1
"U S Q","QSU",3,3,"U","80 pts",1,2,0,1
"L N P R T J","JLNPRT",6,2,"L","42 pts",1,2,0,0
"H L J N P T R V","HJLNPRTV",8,1,"H","10 pts",1,2,0,1
"U I K M O Q S","IKMOQSU",7,2,"K","22 pts",1,2,0,0
"O G I K M Q S U","GIKMOQSU",8,3,"K","67 pts",1,2,0,1
"S K M O Q I U","IKMOQSU",7,2,"K","43 pts",1,2,0,0
"J F H L N","FHJLN",5,4,"L","53 pts",1,2,0,1
"N F H J L P R T V","FHJLNPRTV",9,4,"L","81 pts",1,2,0,0
"H J L P R T N V","HJLNPRTV",8,1,"H","90 pts",1,2,0,0
"G I S K M O Q U","GIKMOQSU",8,5,"O","38 pts",1,2,0,0
"R J L N P H","HJLNPR",6,4,"N","44 pts",1,2,0,0
"N L R P T V","LNPRTV",6,2,"N","35 pts",1,2,0,0
"M Q S O","MOQS",4,2,"O","35 pts",1,2,0,0
"E G K I M O S Q U","EGIKMOQSU",9,7,"Q","37 pts",1,2,0,1
"O M K","KMO",3,2,"M","59 pts",1,2,0,0
"F H J P L N R T","FHJLNPRT",8,6,"P","70 pts",1,2,0,0
"T J L N P R V","JLNPRTV",7,1,"J","55 pts",1,2,0,1
"I G M K","GIKM",4,3,"K","82 pts",1,2,0,0
"I E G","EGI",3,1,"E","33 pts",1,2,0,0
"F H J L R N P","FHJLNPR",7,2,"H","67 pts",1,2,0,0
"H J L R P N T","HJLNPRT",7,2,"J","29 pts",1,2,0,1
"F J H N L","FHJLN",5,4,"L","26 pts",1,2,0,0
"M K Q O","KMOQ",4,3,"O","64 pts",1,2,0,1
"R T P","PRT",3,2,"R","47 pts",1,2,0,1
"F H J L N P V R T","FHJLNPRTV",9,7,"R","51 pts",1,2,0,1
"K M O Q S U I","IKMOQSU",7,2,"K","90 pts",1,2,0,0
"I O K M Q S U W","IKMOQSUW",8,7,"U","53 pts",1,2,0,1
"J L T P R N","JLNPRT",6,3,"N","33 pts",1,2,0,1
"O I K M Q S U W","IKMOQSUW",8,2,"K","14 pts",1,2,0,1
"F J H N L P R","FHJLNPR",7,2,"H","51 pts",1,2,0,1
"G E I K O M Q S U","EGIKMOQSU",9,4,"K","64 pts",1,2,0,0
"P L N","LNP",3,1,"L","81 pts",1,2,0,0
"K O Q S U M W","KMOQSUW",7,3,"O","20 pts",1,2,0,1
"U Q S","QSU",3,1,"Q","30 pts",1,2,0,0
"F H J L N P D","DFHJLNP",7,5,"L","81 pts",1,2,0,1
"J T L N P R V","JLNPRTV",7,7,"V","46 pts",1,2,0,0
"O I K M G","GIKMO",5,4,"M","35 pts",1,2,0,1
"E I G K O M Q S U","EGIKMOQSU",9,8,"S","24 pts",1,2,0,1
"T R P","PRT",3,1,"P","42 pts",1,2,0,0
"E G O I K M Q","EGIKMOQ",7,6,"O","25 pts",1,2,0,0
"H D F","DFH",3,2,"F","16 pts",1,2,0,0
"J L N R P V T","JLNPRTV",7,4,"P","66 pts",1,2,0,0
"F D J H L","DFHJL",5,3,"H","87 pts",1,2,0,1
"L P R T N","LNPRT",5,5,"T","71 pts",1,2,0,1
"H J L N P F R T","FHJLNPRT",8,2,"H","65 pts",1,2,0,0
"N L J","JLN",3,1,"J","71 pts",1,2,0,0
"Q G I K M O E S U","EGIKMOQSU",9,7,"Q","73 pts",1,2,0,0
"O M Q S W U","MOQSUW",6,6,"W","27 pts",1,2,0,1
"M K I O","IKMO",4,4,"O","16 pts",1,2,0,1
"F H J N P L","FHJLNP",6,3,"J","15 pts",1,2,0,0
"G I K W O Q S U M","GIKMOQSUW",9,5,"O","18 pts",1,2,0,0
"D F J H N L P R","DFHJLNPR",8,6,"N","87 pts",1,2,0,0
"F H L N J P","FHJLNP",6,6,"P","25 pts",1,2,0,1
"R N P","NPR",3,3,"R","50 pts",1,2,0,0
"Q K M O S","KMOQS",5,3,"O","56 pts",1,2,0,0
"P L N R T V","LNPRTV",6,3,"P","58 pts",1,2,0,0
"N J L P","JLNP",4,3,"N","68 pts",1,2,0,1
"K G I M","GIKM",4,2,"I","75 pts",1,2,0,0
