"list_og","list_sort","N","cor_pos","target_letter","rewMag","Ndist","editDistance","N_filler","effort_q"
"J F H D L N P R","DFHJLNPR",8,5,"L","34 pts",1,2,0,1
"I M K O Q U S W","IKMOQSUW",8,3,"M","20 pts",1,2,0,1
"H J N P R L","HJLNPR",6,2,"J","13 pts",1,2,0,1
"D H F L J","DFHJL",5,3,"H","53 pts",1,2,0,1
"P N T R","NPRT",4,2,"P","40 pts",1,2,0,0
"O Q M S U","MOQSU",5,2,"O","45 pts",1,2,0,1
"F H J L P R N T V","FHJLNPRTV",9,2,"H","25 pts",1,2,0,1
"F N H J L P R","FHJLNPR",7,7,"R","49 pts",1,2,0,0
"I G K M Q O S U W","GIKMOQSUW",9,1,"G","90 pts",1,2,0,1
"Q I K M O S U W","IKMOQSUW",8,2,"K","85 pts",1,2,0,0
"U Q S","QSU",3,3,"U","58 pts",1,2,0,0
"F J L N P R H T V","FHJLNPRTV",9,1,"F","86 pts",1,2,0,0
"F J L N P R H T","FHJLNPRT",8,4,"L","18 pts",1,2,0,0
"G I E K M O Q","EGIKMOQ",7,6,"O","44 pts",1,2,0,1
"P L N J","JLNP",4,1,"J","29 pts",1,2,0,0
"F H J L N P R T D","DFHJLNPRT",9,2,"F","19 pts",1,2,0,0
"D F H P J L N R","DFHJLNPR",8,7,"P","40 pts",1,2,0,1
"N L P T R","LNPRT",5,2,"N","72 pts",1,2,0,0
"E G M K I","EGIKM",5,2,"G","60 pts",1,2,0,0
"L H J N P R T","HJLNPRT",7,5,"P","40 pts",1,2,0,0
"F H J L N D P R T","DFHJLNPRT",9,5,"L","20 pts",1,2,0,1
"S K M O Q U W","KMOQSUW",7,6,"U","73 pts",1,2,0,0
"F H N J L P R","FHJLNPR",7,1,"F","12 pts",1,2,0,1
"S M O Q","MOQS",4,4,"S","18 pts",1,2,0,1
"G I K O M Q U S","GIKMOQSU",8,7,"S","68 pts",1,2,0,0
"F H J L P R T V N","FHJLNPRTV",9,3,"J","52 pts",1,2,0,0
"I M O Q K S","IKMOQS",6,4,"O","75 pts",1,2,0,1
"F H J N L R P T V","FHJLNPRTV",9,9,"V","40 pts",1,2,0,0
"I K M S O Q","IKMOQS",6,6,"S","23 pts",1,2,0,0
"J P N L R","JLNPR",5,1,"J","74 pts",1,2,0,1
"K S O Q M","KMOQS",5,5,"S","64 pts",1,2,0,1
"K M I","IKM",3,3,"M","35 pts",1,2,0,1
"N H J L P R T V","HJLNPRTV",8,7,"T","83 pts",1,2,0,1
"M K I","IKM",3,3,"M","67 pts",1,2,0,0
"H J L F N P R T V","FHJLNPRTV",9,4,"L","30 pts",1,2,0,1
"Q M O S","MOQS",4,2,"O","34 pts",1,2,0,0
"M K O Q U S W","KMOQSUW",7,5,"S","35 pts",1,2,0,0
"I E G K M","EGIKM",5,3,"I","42 pts",1,2,0,0
"T R P","PRT",3,2,"R","83 pts",1,2,0,1
"N R T P","NPRT",4,3,"R","42 pts",1,2,0,1
"U O Q S","OQSU",4,3,"S","56 pts",1,2,0,1
"H J L T P R N","HJLNPRT",7,3,"L","39 pts",1,2,0,0
"F H J L N V P R T","FHJLNPRTV",9,7,"R","70 pts",1,2,0,0
"E I G K O M Q","EGIKMOQ",7,1,"E","81 pts",1,2,0,1
"H J L F","FHJL",4,1,"F","82 pts",1,2,0,0
"H L N P J R","HJLNPR",6,3,"L","54 pts",1,2,0,1
"J L H N P R T V","HJLNPRTV",8,3,"L","41 pts",1,2,0,0
"M I K","IKM",3,3,"M","73 pts",1,2,0,0
"T L N P R","LNPRT",5,4,"R","18 pts",1,2,0,1
"F H J L N T R P","FHJLNPRT",8,3,"J","12 pts",1,2,0,0
"J L H N P R","HJLNPR",6,2,"J","19 pts",1,2,0,1
"F H J N P L","FHJLNP",6,5,"N","83 pts",1,2,0,1
"E O I K M G","EGIKMO",6,5,"M","57 pts",1,2,0,0
"P F H J L N R","FHJLNPR",7,7,"R","86 pts",1,2,0,0
"K I G M O Q S U W","GIKMOQSUW",9,3,"K","68 pts",1,2,0,1
"H D F","DFH",3,2,"F","59 pts",1,2,0,1
"S U Q","QSU",3,3,"U","22 pts",1,2,0,0
"F J L N H P R","FHJLNPR",7,4,"L","80 pts",1,2,0,1
"O Q M","MOQ",3,3,"Q","48 pts",1,2,0,0
"H D F J","DFHJ",4,1,"D","53 pts",1,2,0,1
"K E G I M","EGIKM",5,1,"E","88 pts",1,2,0,0
"Q S U O","OQSU",4,2,"Q","63 pts",1,2,0,0
