"list_og","list_sort","N","cor_pos","target_letter","rewMag","Ndist","editDistance","N_filler","effort_q"
"F H J D","DFHJ",4,1,"D","38 pts",1,2,0,1
"L H J","HJL",3,2,"J","22 pts",1,2,0,0
"K O Q S M U W","KMOQSUW",7,1,"K","79 pts",1,2,0,1
"T J L N P R H","HJLNPRT",7,7,"T","34 pts",1,2,0,1
"K O M S Q","KMOQS",5,1,"K","65 pts",1,2,0,0
"E K G I M O Q S U","EGIKMOQSU",9,6,"O","86 pts",1,2,0,0
"T P R","PRT",3,2,"R","20 pts",1,2,0,1
"H D F","DFH",3,2,"F","50 pts",1,2,0,1
"N J L H P","HJLNP",5,4,"N","45 pts",1,2,0,0
"I K S M O Q U","IKMOQSU",7,5,"Q","78 pts",1,2,0,0
"G K I O M Q S U","GIKMOQSU",8,5,"O","38 pts",1,2,0,0
"J P L N R T","JLNPRT",6,3,"N","78 pts",1,2,0,0
"F H D J L N P","DFHJLNP",7,7,"P","18 pts",1,2,0,0
"N L J P R","JLNPR",5,1,"J","33 pts",1,2,0,0
"G I M O Q S U W K","GIKMOQSUW",9,3,"K","16 pts",1,2,0,0
"G I O K M","GIKMO",5,1,"G","16 pts",1,2,0,0
"J H F L","FHJL",4,1,"F","71 pts",1,2,0,1
"O M K","KMO",3,2,"M","57 pts",1,2,0,1
"L N P J R T V","JLNPRTV",7,6,"T","62 pts",1,2,0,0
"K I G M O Q S","GIKMOQS",7,7,"S","73 pts",1,2,0,0
"F H J N P L R","FHJLNPR",7,2,"H","86 pts",1,2,0,0
"D F L H J N P","DFHJLNP",7,2,"F","15 pts",1,2,0,0
"N L J","JLN",3,3,"N","85 pts",1,2,0,1
"H J L R P N T V","HJLNPRTV",8,3,"L","42 pts",1,2,0,0
"M G I K","GIKM",4,1,"G","82 pts",1,2,0,1
"F H J L N D P","DFHJLNP",7,3,"H","63 pts",1,2,0,1
"G I K O Q S U W M","GIKMOQSUW",9,9,"W","89 pts",1,2,0,1
"I K G","GIK",3,3,"K","87 pts",1,2,0,0
"F H J L N R T P V","FHJLNPRTV",9,1,"F","27 pts",1,2,0,1
"M G I K E O Q S","EGIKMOQS",8,4,"K","82 pts",1,2,0,1
"K O Q M S U W","KMOQSUW",7,3,"O","35 pts",1,2,0,0
"F J H L P N R T V","FHJLNPRTV",9,2,"H","55 pts",1,2,0,1
"F J H N L","FHJLN",5,4,"L","20 pts",1,2,0,0
"Q M O","MOQ",3,3,"Q","14 pts",1,2,0,1
"J L N P H R","HJLNPR",6,6,"R","88 pts",1,2,0,1
"K O M S Q U","KMOQSU",6,1,"K","51 pts",1,2,0,1
"D H J F","DFHJ",4,1,"D","49 pts",1,2,0,1
"O G I K M Q S U W","GIKMOQSUW",9,7,"S","45 pts",1,2,0,1
"G I K S O Q M U","GIKMOQSU",8,7,"S","73 pts",1,2,0,1
"F H J L N P D R T","DFHJLNPRT",9,7,"P","24 pts",1,2,0,0
"E I K M O G Q","EGIKMOQ",7,2,"G","46 pts",1,2,0,1
"J L R P N T V","JLNPRTV",7,1,"J","37 pts",1,2,0,0
"I K O Q S U W M","IKMOQSUW",8,4,"O","49 pts",1,2,0,1
"O Q S U W M","MOQSUW",6,4,"S","69 pts",1,2,0,0
