"list_og","list_sort","N","cor_pos","target_letter","rewMag","Ndist","editDistance","N_filler","effort_q"
"D F H J T N P R L","DFHJLNPRT",9,5,"L","58 pts",1,2,0,0
"I E G K","EGIK",4,3,"I","29 pts",1,2,0,1
"I K O Q M","IKMOQ",5,1,"I","67 pts",1,2,0,1
"K M O I Q","IKMOQ",5,2,"K","66 pts",1,2,0,0
"P L N","LNP",3,2,"N","76 pts",1,2,0,0
"M O K","KMO",3,1,"K","24 pts",1,2,0,0
"P J L N R T","JLNPRT",6,2,"L","26 pts",1,2,0,0
"L H J","HJL",3,2,"J","88 pts",1,2,0,0
"J R N P L T V","JLNPRTV",7,3,"N","25 pts",1,2,0,1
"Q M O S","MOQS",4,4,"S","59 pts",1,2,0,1
"T P R","PRT",3,1,"P","40 pts",1,2,0,0
"E G K I M O S Q U","EGIKMOQSU",9,9,"U","78 pts",1,2,0,1
"D J F H L","DFHJL",5,1,"D","22 pts",1,2,0,0
"F H L J P N R T V","FHJLNPRTV",9,6,"P","43 pts",1,2,0,1
"J F H L","FHJL",4,3,"J","61 pts",1,2,0,1
"F J H L P N R T V","FHJLNPRTV",9,2,"H","33 pts",1,2,0,1
"K Q O M S U W","KMOQSUW",7,6,"U","77 pts",1,2,0,1
"G E I M K","EGIKM",5,1,"E","74 pts",1,2,0,0
"F D H L J","DFHJL",5,1,"D","63 pts",1,2,0,1
"I G K O M Q S","GIKMOQS",7,2,"I","45 pts",1,2,0,0
"Q O M S","MOQS",4,1,"M","49 pts",1,2,0,0
"G I K M S Q O","GIKMOQS",7,7,"S","44 pts",1,2,0,0
"G Q I K M O S U","GIKMOQSU",8,1,"G","82 pts",1,2,0,0
"F J H L N P T R","FHJLNPRT",8,2,"H","39 pts",1,2,0,1
"R P N T","NPRT",4,1,"N","44 pts",1,2,0,0
"J F H D L N","DFHJLN",6,3,"H","27 pts",1,2,0,0
"J F H","FHJ",3,1,"F","15 pts",1,2,0,0
"K G I E M O Q S U","EGIKMOQSU",9,2,"G","60 pts",1,2,0,1
"W M O Q S U","MOQSUW",6,3,"Q","82 pts",1,2,0,0
"O G I K M E Q S U","EGIKMOQSU",9,6,"O","16 pts",1,2,0,1
"E O G I K M Q S U","EGIKMOQSU",9,2,"G","23 pts",1,2,0,1
"T J L N P R H V","HJLNPRTV",8,2,"J","85 pts",1,2,0,1
"L D F H J N","DFHJLN",6,3,"H","14 pts",1,2,0,1
"M O K Q S U","KMOQSU",6,5,"S","18 pts",1,2,0,0
"P L N J R T","JLNPRT",6,3,"N","52 pts",1,2,0,1
"M O S Q W U","MOQSUW",6,6,"W","45 pts",1,2,0,1
"M O K Q","KMOQ",4,4,"Q","53 pts",1,2,0,0
"I K O M S Q U W","IKMOQSUW",8,8,"W","50 pts",1,2,0,1
"J N L P T R","JLNPRT",6,3,"N","77 pts",1,2,0,1
"G I K W M O Q S U","GIKMOQSUW",9,8,"U","59 pts",1,2,0,0
"F H R L N P J T","FHJLNPRT",8,1,"F","17 pts",1,2,0,0
"H F L J","FHJL",4,3,"J","36 pts",1,2,0,0
"J L N H","HJLN",4,2,"J","67 pts",1,2,0,1
"Q K M O I S","IKMOQS",6,3,"M","60 pts",1,2,0,1
"N J L","JLN",3,1,"J","45 pts",1,2,0,1
"I K O Q S M U W","IKMOQSUW",8,6,"S","80 pts",1,2,0,1
"I M O Q S U W K","IKMOQSUW",8,6,"S","68 pts",1,2,0,0
"R L N P J","JLNPR",5,3,"N","81 pts",1,2,0,0
"I K Q M O S U W","IKMOQSUW",8,1,"I","25 pts",1,2,0,1
"N L R P T","LNPRT",5,1,"L","86 pts",1,2,0,0
"D F H R L N P J","DFHJLNPR",8,5,"L","84 pts",1,2,0,0
"O I K M Q","IKMOQ",5,4,"O","10 pts",1,2,0,0
"H J N L R P T","HJLNPRT",7,6,"R","12 pts",1,2,0,1
"Q M O K S","KMOQS",5,1,"K","14 pts",1,2,0,0
"P R N T","NPRT",4,3,"R","57 pts",1,2,0,1
"O M K","KMO",3,1,"K","26 pts",1,2,0,1
"P F H J L N D","DFHJLNP",7,2,"F","46 pts",1,2,0,0
"G K I M O S Q U","GIKMOQSU",8,3,"K","75 pts",1,2,0,1
"D J H F L N P R T","DFHJLNPRT",9,9,"T","79 pts",1,2,0,0
"I K G","GIK",3,3,"K","53 pts",1,2,0,1
"J L P N T R V","JLNPRTV",7,2,"L","78 pts",1,2,0,0
"M I K","IKM",3,1,"I","13 pts",1,2,0,1
"H J N P R T V L","HJLNPRTV",8,7,"T","12 pts",1,2,0,1
"J P N L","JLNP",4,2,"L","52 pts",1,2,0,1
"H F D","DFH",3,3,"H","31 pts",1,2,0,1
"J F H L N P","FHJLNP",6,2,"H","31 pts",1,2,0,1
"R H J L N P T V","HJLNPRTV",8,7,"T","58 pts",1,2,0,1
"G S I K M O Q U W","GIKMOQSUW",9,1,"G","71 pts",1,2,0,1
"L R P N","LNPR",4,3,"P","90 pts",1,2,0,1
"Q S O","OQS",3,2,"Q","49 pts",1,2,0,0
"L J P N","JLNP",4,1,"J","86 pts",1,2,0,0
