"list_og","list_sort","N","cor_pos","target_letter","rewMag","Ndist","editDistance","N_filler","effort_q"
"R J L N P H T V","HJLNPRTV",8,6,"R","22 pts",1,2,0,0
"H L N J P","HJLNP",5,3,"L","16 pts",1,2,0,0
"K O Q S U W M","KMOQSUW",7,4,"Q","69 pts",1,2,0,0
"O Q S M U W","MOQSUW",6,5,"U","20 pts",1,2,0,1
"H P J L N R T V","HJLNPRTV",8,2,"J","80 pts",1,2,0,1
"E O G I K M Q","EGIKMOQ",7,6,"O","51 pts",1,2,0,0
"G I K E M O Q","EGIKMOQ",7,2,"G","65 pts",1,2,0,1
"N P R T L V","LNPRTV",6,2,"N","30 pts",1,2,0,1
"F H J L N T R P V","FHJLNPRTV",9,5,"N","20 pts",1,2,0,0
"H F L J N P R T","FHJLNPRT",8,1,"F","45 pts",1,2,0,1
"K S O Q M U W","KMOQSUW",7,5,"S","84 pts",1,2,0,1
"S O Q M U W","MOQSUW",6,2,"O","48 pts",1,2,0,1
"N L P R V T","LNPRTV",6,3,"P","63 pts",1,2,0,1
"F H N J L P R T V","FHJLNPRTV",9,4,"L","49 pts",1,2,0,1
"G K M O Q I S U W","GIKMOQSUW",9,3,"K","89 pts",1,2,0,0
"R N P","NPR",3,2,"P","29 pts",1,2,0,0
"T N P R","NPRT",4,3,"R","44 pts",1,2,0,1
"H J L N P T V R","HJLNPRTV",8,2,"J","30 pts",1,2,0,0
"I K O Q M S","IKMOQS",6,1,"I","41 pts",1,2,0,1
"F H T L N P R J V","FHJLNPRTV",9,8,"T","68 pts",1,2,0,1
"S Q O","OQS",3,3,"S","39 pts",1,2,0,0
"E G I K M O U Q S","EGIKMOQSU",9,3,"I","32 pts",1,2,0,0
"O E G I K M","EGIKMO",6,5,"M","22 pts",1,2,0,0
"K I O M","IKMO",4,1,"I","67 pts",1,2,0,1
"H F J L N P R V T","FHJLNPRTV",9,9,"V","48 pts",1,2,0,0
"G I K O Q S U M W","GIKMOQSUW",9,2,"I","59 pts",1,2,0,0
"F J L N P R H","FHJLNPR",7,7,"R","77 pts",1,2,0,1
"I K M O Q W U S","IKMOQSUW",8,6,"S","77 pts",1,2,0,0
"M Q S O","MOQS",4,3,"Q","73 pts",1,2,0,0
"M O K Q","KMOQ",4,4,"Q","13 pts",1,2,0,0
"M K I","IKM",3,1,"I","16 pts",1,2,0,0
"S Q O U","OQSU",4,1,"O","25 pts",1,2,0,1
"E G M K I O Q","EGIKMOQ",7,3,"I","29 pts",1,2,0,0
"I E G","EGI",3,1,"E","85 pts",1,2,0,1
"H J F","FHJ",3,3,"J","19 pts",1,2,0,0
"M I K G O Q S U","GIKMOQSU",8,6,"Q","12 pts",1,2,0,1
"Q M O S","MOQS",4,4,"S","48 pts",1,2,0,0
"T L N P R J V","JLNPRTV",7,3,"N","24 pts",1,2,0,1
"H D F J L","DFHJL",5,5,"L","27 pts",1,2,0,1
"F N H J L P","FHJLNP",6,6,"P","74 pts",1,2,0,0
"K M O U Q S","KMOQSU",6,4,"Q","71 pts",1,2,0,1
"K M S O Q U","KMOQSU",6,4,"Q","25 pts",1,2,0,1
"O K M","KMO",3,1,"K","63 pts",1,2,0,1
"D J F H L N P","DFHJLNP",7,2,"F","26 pts",1,2,0,0
"J N P R L","JLNPR",5,3,"N","53 pts",1,2,0,0
"Q S O","OQS",3,2,"Q","28 pts",1,2,0,0
"I K M O Q S G","GIKMOQS",7,3,"K","64 pts",1,2,0,1
"H J P N L R","HJLNPR",6,3,"L","18 pts",1,2,0,0
"F J H L N P T R V","FHJLNPRTV",9,6,"P","87 pts",1,2,0,0
"F J L H","FHJL",4,2,"H","56 pts",1,2,0,0
"G E K I","EGIK",4,2,"G","28 pts",1,2,0,0
"H J N P R L","HJLNPR",6,1,"H","51 pts",1,2,0,1
"H D F","DFH",3,2,"F","25 pts",1,2,0,0
"Q M O S U W","MOQSUW",6,2,"O","55 pts",1,2,0,1
"Q G I K M O S U W","GIKMOQSUW",9,7,"S","71 pts",1,2,0,1
"S G I K M O Q U","GIKMOQSU",8,3,"K","81 pts",1,2,0,1
"K M S Q O","KMOQS",5,1,"K","25 pts",1,2,0,0
"I K O Q S U M","IKMOQSU",7,4,"O","90 pts",1,2,0,1
"E G I M O K","EGIKMO",6,5,"M","39 pts",1,2,0,0
"H N J L","HJLN",4,3,"L","11 pts",1,2,0,0
"K Q O M","KMOQ",4,2,"M","19 pts",1,2,0,0
"T P R","PRT",3,2,"R","52 pts",1,2,0,0
"G K I O M Q S","GIKMOQS",7,1,"G","28 pts",1,2,0,1
"H F J N L","FHJLN",5,3,"J","65 pts",1,2,0,1
"O I K M Q S","IKMOQS",6,6,"S","49 pts",1,2,0,0
"D F H L J N P T R","DFHJLNPRT",9,9,"T","31 pts",1,2,0,0
"G K I M Q O","GIKMOQ",6,1,"G","70 pts",1,2,0,1
"F H J D","DFHJ",4,2,"F","22 pts",1,2,0,0
"P L N","LNP",3,2,"N","32 pts",1,2,0,1
"J L N P H","HJLNP",5,3,"L","51 pts",1,2,0,1
"M K O Q U S W","KMOQSUW",7,3,"O","50 pts",1,2,0,0
"N T P R","NPRT",4,2,"P","66 pts",1,2,0,0
"J H F L","FHJL",4,1,"F","12 pts",1,2,0,1
"F H D","DFH",3,1,"D","44 pts",1,2,0,1
"E G I K Q M O S","EGIKMOQS",8,2,"G","42 pts",1,2,0,0
"Q M O","MOQ",3,3,"Q","64 pts",1,2,0,1
"R N P L","LNPR",4,4,"R","26 pts",1,2,0,1
"F H J L P N T R V","FHJLNPRTV",9,9,"V","74 pts",1,2,0,1
"E G Q I K M O S","EGIKMOQS",8,6,"O","73 pts",1,2,0,0
"K M O I Q S U W","IKMOQSUW",8,8,"W","31 pts",1,2,0,0
"H P J L N","HJLNP",5,1,"H","52 pts",1,2,0,1
"U S Q","QSU",3,2,"S","42 pts",1,2,0,1
"N H J L P","HJLNP",5,5,"P","60 pts",1,2,0,1
"H J L P R N T","HJLNPRT",7,7,"T","56 pts",1,2,0,1
"I K G M","GIKM",4,4,"M","74 pts",1,2,0,1
"E G M K I","EGIKM",5,5,"M","39 pts",1,2,0,1
"E G I K O Q S U M","EGIKMOQSU",9,4,"K","16 pts",1,2,0,1
"H L N P R J T V","HJLNPRTV",8,5,"P","78 pts",1,2,0,1
"H F D","DFH",3,3,"H","37 pts",1,2,0,1
"D F N H J L P R","DFHJLNPR",8,5,"L","33 pts",1,2,0,1
"J T L N P R V","JLNPRTV",7,7,"V","30 pts",1,2,0,1
"G I K Q O M S U","GIKMOQSU",8,3,"K","39 pts",1,2,0,0
"D H F J N L P","DFHJLNP",7,2,"F","85 pts",1,2,0,0
"E G I M O Q S U K","EGIKMOQSU",9,8,"S","52 pts",1,2,0,0
"O G I K M Q S","GIKMOQS",7,3,"K","17 pts",1,2,0,0
"H L J N P R V T","HJLNPRTV",8,5,"P","17 pts",1,2,0,1
"M I K O","IKMO",4,2,"K","42 pts",1,2,0,0
"K S O Q M U","KMOQSU",6,6,"U","37 pts",1,2,0,1
"K Q M O S","KMOQS",5,2,"M","69 pts",1,2,0,1
"E I K M G","EGIKM",5,1,"E","67 pts",1,2,0,0
"J P L N R","JLNPR",5,5,"R","46 pts",1,2,0,0
"G I K S M O Q U W","GIKMOQSUW",9,9,"W","42 pts",1,2,0,0
"H N L J","HJLN",4,1,"H","90 pts",1,2,0,0
"P N L R","LNPR",4,3,"P","53 pts",1,2,0,0
"F H J T N P R L","FHJLNPRT",8,8,"T","53 pts",1,2,0,0
"U M O Q S","MOQSU",5,1,"M","31 pts",1,2,0,1
"L P R T N","LNPRT",5,1,"L","71 pts",1,2,0,0
"F J H L N P T R","FHJLNPRT",8,7,"R","85 pts",1,2,0,0
"L N P T V R","LNPRTV",6,1,"L","50 pts",1,2,0,1
"J H F","FHJ",3,3,"J","66 pts",1,2,0,0
"Q O M S","MOQS",4,2,"O","81 pts",1,2,0,1
"L H J F N P","FHJLNP",6,1,"F","27 pts",1,2,0,0
"H F D J L N","DFHJLN",6,2,"F","62 pts",1,2,0,0
"I K M O G","GIKMO",5,4,"M","73 pts",1,2,0,0
"I W M O Q S U K","IKMOQSUW",8,8,"W","32 pts",1,2,0,0
"O I K M","IKMO",4,3,"M","23 pts",1,2,0,1
"U O Q S","OQSU",4,2,"Q","80 pts",1,2,0,1
"I K M G O Q S U W","GIKMOQSUW",9,3,"K","38 pts",1,2,0,0
"D H F L J","DFHJL",5,4,"J","68 pts",1,2,0,1
"G I E","EGI",3,2,"G","62 pts",1,2,0,1
"J L N P V R T","JLNPRTV",7,2,"L","62 pts",1,2,0,0
"O M K","KMO",3,2,"M","53 pts",1,2,0,1
"G M K I O Q","GIKMOQ",6,3,"K","90 pts",1,2,0,0
"R N P T","NPRT",4,3,"R","20 pts",1,2,0,1
"F H L N P R J","FHJLNPR",7,5,"N","68 pts",1,2,0,0
"R H J L N P F T","FHJLNPRT",8,1,"F","71 pts",1,2,0,0
"Q E G I K M O S U","EGIKMOQSU",9,2,"G","67 pts",1,2,0,1
"L F H J N","FHJLN",5,4,"L","32 pts",1,2,0,0
"K U M O Q S W","KMOQSUW",7,4,"Q","79 pts",1,2,0,1
"W K M O Q S U","KMOQSUW",7,3,"O","55 pts",1,2,0,1
"M W Q S U O","MOQSUW",6,2,"O","47 pts",1,2,0,0
"F H N L J P R T V","FHJLNPRTV",9,1,"F","18 pts",1,2,0,1
"U O Q S M W","MOQSUW",6,1,"M","69 pts",1,2,0,0
"O U Q S","OQSU",4,4,"U","87 pts",1,2,0,1
"G M K I O","GIKMO",5,1,"G","63 pts",1,2,0,1
"H J L F N P R T","FHJLNPRT",8,4,"L","76 pts",1,2,0,1
"K I O M Q","IKMOQ",5,5,"Q","56 pts",1,2,0,0
"G E I K M Q O S U","EGIKMOQSU",9,8,"S","34 pts",1,2,0,1
"E S I K M O Q G","EGIKMOQS",8,4,"K","26 pts",1,2,0,1
"Q G I K M O E S U","EGIKMOQSU",9,2,"G","63 pts",1,2,0,1
"L J H","HJL",3,1,"H","57 pts",1,2,0,0
"S U Q","QSU",3,2,"S","73 pts",1,2,0,1
"F L J H N P R","FHJLNPR",7,4,"L","36 pts",1,2,0,0
"J N P R T V L","JLNPRTV",7,6,"T","46 pts",1,2,0,0
"F H J L R P N T V","FHJLNPRTV",9,6,"P","66 pts",1,2,0,1
"K G I M O Q S U","GIKMOQSU",8,5,"O","87 pts",1,2,0,0
"L H J F N P R","FHJLNPR",7,7,"R","81 pts",1,2,0,0
"G I O M K Q S U W","GIKMOQSUW",9,3,"K","70 pts",1,2,0,1
"D L H J F","DFHJL",5,1,"D","72 pts",1,2,0,0
"E G I K Q O M","EGIKMOQ",7,3,"I","45 pts",1,2,0,1
"M I K","IKM",3,1,"I","82 pts",1,2,0,0
"R T P","PRT",3,3,"T","15 pts",1,2,0,1
"N F H J L","FHJLN",5,1,"F","49 pts",1,2,0,1
"J F H","FHJ",3,3,"J","31 pts",1,2,0,0
"F H J P L N R T V","FHJLNPRTV",9,1,"F","81 pts",1,2,0,1
"D F H J L R N P T","DFHJLNPRT",9,4,"J","85 pts",1,2,0,0
"H J L N F","FHJLN",5,2,"H","13 pts",1,2,0,0
"Q O M","MOQ",3,1,"M","14 pts",1,2,0,0
"K G I","GIK",3,1,"G","36 pts",1,2,0,1
"J F H L","FHJL",4,2,"H","60 pts",1,2,0,1
"P N L R T V","LNPRTV",6,4,"R","81 pts",1,2,0,0
"E G I K M S Q O","EGIKMOQS",8,8,"S","83 pts",1,2,0,1
"F J L N P H","FHJLNP",6,4,"L","57 pts",1,2,0,0
"G I K M E","EGIKM",5,5,"M","78 pts",1,2,0,1
"K E G I M O Q S","EGIKMOQS",8,5,"M","11 pts",1,2,0,1
"H J N P L","HJLNP",5,2,"J","22 pts",1,2,0,0
"E S G I K M O Q","EGIKMOQS",8,8,"S","55 pts",1,2,0,1
"D H J L N P R F T","DFHJLNPRT",9,8,"R","11 pts",1,2,0,0
