"list_og","list_sort","N","cor_pos","target_letter","rewMag","Ndist","editDistance","N_filler","effort_q"
"L P R N T","LNPRT",5,1,"L","48 pts",1,2,0,1
"E I G K O M","EGIKMO",6,6,"O","19 pts",1,2,0,0
"E G I M K O Q U S","EGIKMOQSU",9,4,"K","22 pts",1,2,0,1
"G I K M O Q S U E","EGIKMOQSU",9,1,"E","89 pts",1,2,0,0
"E I K M G O Q S U","EGIKMOQSU",9,6,"O","76 pts",1,2,0,0
"L H J","HJL",3,3,"L","88 pts",1,2,0,1
"H J L T N P R","HJLNPRT",7,6,"R","32 pts",1,2,0,0
"H F D J","DFHJ",4,2,"F","41 pts",1,2,0,0
"D F H L J N R P T","DFHJLNPRT",9,1,"D","82 pts",1,2,0,1
"J D F H L N","DFHJLN",6,1,"D","48 pts",1,2,0,0
"H L J P N R T V","HJLNPRTV",8,4,"N","36 pts",1,2,0,1
"K M O Q S I U W","IKMOQSUW",8,3,"M","55 pts",1,2,0,0
"E I G M K","EGIKM",5,4,"K","24 pts",1,2,0,0
"P H J L N R","HJLNPR",6,2,"J","41 pts",1,2,0,0
"S G I K M O Q E","EGIKMOQS",8,1,"E","84 pts",1,2,0,1
"F N J L H P R T","FHJLNPRT",8,3,"J","39 pts",1,2,0,0
"Q M O S","MOQS",4,1,"M","39 pts",1,2,0,1
"G I K M S O Q U W","GIKMOQSUW",9,8,"U","87 pts",1,2,0,0
"F H J D L","DFHJL",5,2,"F","16 pts",1,2,0,0
"T L N P R V","LNPRTV",6,1,"L","22 pts",1,2,0,0
"R N P L","LNPR",4,3,"P","64 pts",1,2,0,0
"M S O Q U W","MOQSUW",6,3,"Q","68 pts",1,2,0,1
"T R P","PRT",3,2,"R","55 pts",1,2,0,0
"S U Q","QSU",3,2,"S","41 pts",1,2,0,1
"I K M O Q S U G","GIKMOQSU",8,6,"Q","11 pts",1,2,0,0
"H V J L N P R T","HJLNPRTV",8,1,"H","71 pts",1,2,0,1
"J H F L N P R T V","FHJLNPRTV",9,6,"P","62 pts",1,2,0,0
"F L J H","FHJL",4,1,"F","78 pts",1,2,0,1
"J N P R T L","JLNPRT",6,3,"N","59 pts",1,2,0,0
"D H J L N P F","DFHJLNP",7,6,"N","73 pts",1,2,0,0
"I G E K","EGIK",4,4,"K","19 pts",1,2,0,0
"D F H J T N P R L","DFHJLNPRT",9,3,"H","43 pts",1,2,0,1
"O K M Q S U W","KMOQSUW",7,7,"W","16 pts",1,2,0,1
"I E G K M","EGIKM",5,1,"E","45 pts",1,2,0,1
"K Q M O","KMOQ",4,4,"Q","50 pts",1,2,0,0
"K M I O Q S","IKMOQS",6,4,"O","74 pts",1,2,0,0
"D F H J N P L R T","DFHJLNPRT",9,4,"J","28 pts",1,2,0,1
"K M I O","IKMO",4,2,"K","38 pts",1,2,0,1
"I M O Q S U K","IKMOQSU",7,7,"U","34 pts",1,2,0,0
"L N P J R","JLNPR",5,2,"L","61 pts",1,2,0,0
"E G I U K M O Q S","EGIKMOQSU",9,6,"O","54 pts",1,2,0,1
"I K G","GIK",3,3,"K","44 pts",1,2,0,0
"N F H J L D P","DFHJLNP",7,6,"N","58 pts",1,2,0,1
"K I G","GIK",3,2,"I","57 pts",1,2,0,0
"F P J L N H R T","FHJLNPRT",8,4,"L","47 pts",1,2,0,1
"G I K E","EGIK",4,3,"I","58 pts",1,2,0,1
"Q I K M O S","IKMOQS",6,5,"Q","15 pts",1,2,0,1
"G I M K Q O","GIKMOQ",6,6,"Q","24 pts",1,2,0,1
"F J L H N","FHJLN",5,2,"H","52 pts",1,2,0,0
"E G I S K M O Q","EGIKMOQS",8,5,"M","66 pts",1,2,0,1
"F H R L N P J T V","FHJLNPRTV",9,4,"L","31 pts",1,2,0,0
"M O K","KMO",3,3,"O","34 pts",1,2,0,1
"J R N P L T V","JLNPRTV",7,7,"V","40 pts",1,2,0,0
"G I M O Q S U W K","GIKMOQSUW",9,2,"I","55 pts",1,2,0,0
"N L J","JLN",3,2,"L","43 pts",1,2,0,0
"J L N P V T R","JLNPRTV",7,3,"N","84 pts",1,2,0,0
