"list_og","list_sort","N","cor_pos","target_letter","rewMag","Ndist","editDistance","N_filler","effort_q"
"L J H","HJL",3,3,"L","83 pts",1,2,0,1
"H J L T P R N","HJLNPRT",7,1,"H","14 pts",1,2,0,0
"F H N J L P","FHJLNP",6,6,"P","51 pts",1,2,0,0
"H L N P R T J V","HJLNPRTV",8,3,"L","87 pts",1,2,0,0
"F H L N J P","FHJLNP",6,1,"F","89 pts",1,2,0,1
"G I K M U Q S O W","GIKMOQSUW",9,6,"Q","33 pts",1,2,0,0
"I M O K Q","IKMOQ",5,1,"I","35 pts",1,2,0,1
"N L J P","JLNP",4,3,"N","70 pts",1,2,0,1
"U Q S","QSU",3,3,"U","12 pts",1,2,0,0
"P R N","NPR",3,2,"P","27 pts",1,2,0,0
"S G I K M O Q E U","EGIKMOQSU",9,4,"K","35 pts",1,2,0,1
"D F H L N P J R","DFHJLNPR",8,7,"P","23 pts",1,2,0,1
"N L R P","LNPR",4,4,"R","43 pts",1,2,0,0
"F H L N J P R T","FHJLNPRT",8,3,"J","75 pts",1,2,0,1
"F D J H L","DFHJL",5,1,"D","73 pts",1,2,0,0
"K O Q M S","KMOQS",5,4,"Q","86 pts",1,2,0,1
"P L N","LNP",3,2,"N","18 pts",1,2,0,0
"K G I","GIK",3,1,"G","81 pts",1,2,0,1
"F J L N P R H T","FHJLNPRT",8,4,"L","66 pts",1,2,0,0
"D F J H L P N","DFHJLNP",7,4,"J","57 pts",1,2,0,0
"E I G K O M","EGIKMO",6,5,"M","53 pts",1,2,0,0
"G I E","EGI",3,3,"I","41 pts",1,2,0,1
"R T P","PRT",3,3,"T","29 pts",1,2,0,0
"E M G I K O","EGIKMO",6,3,"I","31 pts",1,2,0,0
"N D F H J L","DFHJLN",6,6,"N","48 pts",1,2,0,0
"F H J P N L R T V","FHJLNPRTV",9,1,"F","60 pts",1,2,0,0
"E G M K I","EGIKM",5,1,"E","30 pts",1,2,0,0
"O M K Q S U","KMOQSU",6,3,"O","54 pts",1,2,0,0
"J F H D","DFHJ",4,4,"J","57 pts",1,2,0,0
"J L N H P R T","HJLNPRT",7,3,"L","10 pts",1,2,0,0
"F J H L N R P T","FHJLNPRT",8,7,"R","24 pts",1,2,0,1
"L N J","JLN",3,3,"N","76 pts",1,2,0,1
"E G I K M O S U Q","EGIKMOQSU",9,7,"Q","20 pts",1,2,0,1
"K I M O Q U S W","IKMOQSUW",8,2,"K","71 pts",1,2,0,0
"H D F","DFH",3,3,"H","77 pts",1,2,0,1
"I Q M O K S U","IKMOQSU",7,1,"I","79 pts",1,2,0,0
"F H J L P N T R V","FHJLNPRTV",9,7,"R","18 pts",1,2,0,0
"M K Q O","KMOQ",4,3,"O","59 pts",1,2,0,1
"I K M G O","GIKMO",5,1,"G","43 pts",1,2,0,1
"K O M Q S W U","KMOQSUW",7,3,"O","16 pts",1,2,0,0
"S O Q","OQS",3,3,"S","22 pts",1,2,0,0
"I K O Q S M U W","IKMOQSUW",8,6,"S","46 pts",1,2,0,1
"F H J D","DFHJ",4,1,"D","21 pts",1,2,0,1
"L F H J N","FHJLN",5,4,"L","90 pts",1,2,0,1
"M K I","IKM",3,1,"I","69 pts",1,2,0,0
"F H R J L N P T","FHJLNPRT",8,5,"N","14 pts",1,2,0,0
"U O Q S","OQSU",4,4,"U","48 pts",1,2,0,0
"G I K M E O Q S","EGIKMOQS",8,8,"S","81 pts",1,2,0,0
"E I K M O Q S G","EGIKMOQS",8,8,"S","16 pts",1,2,0,0
"P J L N H R T V","HJLNPRTV",8,4,"N","89 pts",1,2,0,1
"O M K","KMO",3,2,"M","75 pts",1,2,0,1
"Q O M","MOQ",3,3,"Q","44 pts",1,2,0,1
"H J L N R T V P","HJLNPRTV",8,6,"R","27 pts",1,2,0,1
"D P F H J L N R T","DFHJLNPRT",9,4,"J","13 pts",1,2,0,1
"L H J F","FHJL",4,3,"J","39 pts",1,2,0,0
"J L R P N T","JLNPRT",6,4,"P","29 pts",1,2,0,1
"H N L J P R T V","HJLNPRTV",8,6,"R","39 pts",1,2,0,0
"J P L N R","JLNPR",5,2,"L","80 pts",1,2,0,0
"E G I M O Q K","EGIKMOQ",7,3,"I","88 pts",1,2,0,0
"Q M O S U W","MOQSUW",6,1,"M","86 pts",1,2,0,1
"M I K O","IKMO",4,3,"M","12 pts",1,2,0,0
"D H J L N P R F T","DFHJLNPRT",9,9,"T","36 pts",1,2,0,0
"F T H J L N P R V","FHJLNPRTV",9,6,"P","42 pts",1,2,0,1
"T J L N P R","JLNPRT",6,3,"N","27 pts",1,2,0,1
"E G K M I","EGIKM",5,5,"M","60 pts",1,2,0,1
"K E G I","EGIK",4,1,"E","81 pts",1,2,0,1
"I K G M O Q S U","GIKMOQSU",8,7,"S","10 pts",1,2,0,1
"N P R L","LNPR",4,2,"N","50 pts",1,2,0,1
"J H N L P","HJLNP",5,5,"P","33 pts",1,2,0,0
"I K S M O Q","IKMOQS",6,5,"Q","11 pts",1,2,0,1
"G M K I","GIKM",4,3,"K","17 pts",1,2,0,0
"N P L R","LNPR",4,1,"L","18 pts",1,2,0,1
"H L J P N R","HJLNPR",6,4,"N","36 pts",1,2,0,0
"O U Q S","OQSU",4,1,"O","40 pts",1,2,0,0
"H J N L P R V T","HJLNPRTV",8,3,"L","28 pts",1,2,0,0
"Q M O","MOQ",3,3,"Q","50 pts",1,2,0,0
"K M I O","IKMO",4,2,"K","55 pts",1,2,0,1
"M O Q K","KMOQ",4,1,"K","25 pts",1,2,0,0
"E K G I M O Q S","EGIKMOQS",8,7,"Q","42 pts",1,2,0,0
"Q K M O I S U","IKMOQSU",7,6,"S","42 pts",1,2,0,1
"F H R J L N P","FHJLNPR",7,4,"L","71 pts",1,2,0,1
"W M O Q S U K","KMOQSUW",7,2,"M","23 pts",1,2,0,1
"U M O Q S K","KMOQSU",6,5,"S","33 pts",1,2,0,1
"T P R","PRT",3,1,"P","15 pts",1,2,0,1
"H J N P L R","HJLNPR",6,5,"P","69 pts",1,2,0,1
"D H F L J N","DFHJLN",6,1,"D","15 pts",1,2,0,1
"S O Q M","MOQS",4,2,"O","37 pts",1,2,0,1
"F D J H","DFHJ",4,4,"J","46 pts",1,2,0,0
"K M O I","IKMO",4,3,"M","69 pts",1,2,0,0
"F T J L N P R H","FHJLNPRT",8,2,"H","60 pts",1,2,0,1
"I G K M Q O S U","GIKMOQSU",8,6,"Q","26 pts",1,2,0,1
"M O Q U W S","MOQSUW",6,5,"U","78 pts",1,2,0,0
"R P N","NPR",3,1,"N","68 pts",1,2,0,0
"G I K M E","EGIKM",5,4,"K","78 pts",1,2,0,0
"E K G I","EGIK",4,2,"G","88 pts",1,2,0,0
