"list_og","list_sort","N","cor_pos","target_letter","rewMag","Ndist","editDistance","N_filler","effort_q"
"H L N J P R","HJLNPR",6,4,"N","23 pts",1,2,0,1
"H N J L P R","HJLNPR",6,3,"L","16 pts",1,2,0,0
"J F H L N P R","FHJLNPR",7,1,"F","65 pts",1,2,0,1
"R P N","NPR",3,2,"P","33 pts",1,2,0,0
"E G I K O Q S M U","EGIKMOQSU",9,6,"O","81 pts",1,2,0,0
"L P R N T","LNPRT",5,4,"R","77 pts",1,2,0,1
"D F J H L N P T R","DFHJLNPRT",9,4,"J","21 pts",1,2,0,0
"F J H L N P T R","FHJLNPRT",8,4,"L","57 pts",1,2,0,0
"K W O Q S U M","KMOQSUW",7,4,"Q","88 pts",1,2,0,1
"R N P","NPR",3,3,"R","10 pts",1,2,0,1
"M K O Q S W U","KMOQSUW",7,7,"W","60 pts",1,2,0,1
"Q K M O S U","KMOQSU",6,1,"K","46 pts",1,2,0,0
"P R N","NPR",3,2,"P","51 pts",1,2,0,0
"L J H","HJL",3,1,"H","71 pts",1,2,0,1
"G I K S M O Q U W","GIKMOQSUW",9,4,"M","86 pts",1,2,0,1
"F D J H L","DFHJL",5,4,"J","64 pts",1,2,0,1
"Q S O","OQS",3,1,"O","85 pts",1,2,0,1
"D J H F L","DFHJL",5,5,"L","47 pts",1,2,0,1
"I Q K M O","IKMOQ",5,5,"Q","31 pts",1,2,0,0
"L R P N T V","LNPRTV",6,6,"V","15 pts",1,2,0,1
"E I G M K O Q S U","EGIKMOQSU",9,2,"G","84 pts",1,2,0,1
"I O M K","IKMO",4,3,"M","71 pts",1,2,0,0
"P L N R T V","LNPRTV",6,3,"P","21 pts",1,2,0,0
"L H J F N","FHJLN",5,4,"L","89 pts",1,2,0,0
"T L N P R","LNPRT",5,3,"P","71 pts",1,2,0,1
"H J L N P R F T","FHJLNPRT",8,8,"T","20 pts",1,2,0,0
"I K M O G","GIKMO",5,2,"I","78 pts",1,2,0,0
"G E K I M O Q S","EGIKMOQS",8,2,"G","24 pts",1,2,0,1
"J L H","HJL",3,2,"J","81 pts",1,2,0,0
"G E K I M O Q","EGIKMOQ",7,7,"Q","71 pts",1,2,0,1
"M E G I K","EGIKM",5,3,"I","86 pts",1,2,0,1
"K Q O M","KMOQ",4,3,"O","89 pts",1,2,0,0
"Q M O K S","KMOQS",5,2,"M","46 pts",1,2,0,1
"I K Q M O S","IKMOQS",6,1,"I","72 pts",1,2,0,0
"V J L N P R T H","HJLNPRTV",8,8,"V","41 pts",1,2,0,1
"O Q M","MOQ",3,2,"O","30 pts",1,2,0,0
"F H J L D N","DFHJLN",6,5,"L","59 pts",1,2,0,1
"F J L H","FHJL",4,4,"L","10 pts",1,2,0,1
"S K M O Q I U W","IKMOQSUW",8,6,"S","32 pts",1,2,0,0
"I K U M O Q S","IKMOQSU",7,4,"O","40 pts",1,2,0,0
"L N J","JLN",3,2,"L","39 pts",1,2,0,1
"R F H J L N P","FHJLNPR",7,1,"F","21 pts",1,2,0,0
"O M K","KMO",3,2,"M","49 pts",1,2,0,0
"F H L J N P T R V","FHJLNPRTV",9,4,"L","10 pts",1,2,0,0
"H N J L","HJLN",4,1,"H","41 pts",1,2,0,1
"I K G M","GIKM",4,4,"M","72 pts",1,2,0,1
"O K M","KMO",3,3,"O","80 pts",1,2,0,0
"H F L J N P R T V","FHJLNPRTV",9,9,"V","27 pts",1,2,0,1
"G I W M O Q S U K","GIKMOQSUW",9,5,"O","43 pts",1,2,0,1
"H J F L N","FHJLN",5,2,"H","79 pts",1,2,0,0
"E G Q I K M O","EGIKMOQ",7,1,"E","76 pts",1,2,0,1
"O Q S M U W","MOQSUW",6,4,"S","76 pts",1,2,0,0
"O M S Q","MOQS",4,3,"Q","65 pts",1,2,0,1
"K M I","IKM",3,1,"I","26 pts",1,2,0,0
"K Q O M S","KMOQS",5,3,"O","63 pts",1,2,0,0
"E G I M O K Q S","EGIKMOQS",8,8,"S","39 pts",1,2,0,1
"D P H J L N F R T","DFHJLNPRT",9,3,"H","36 pts",1,2,0,0
"H F D J","DFHJ",4,4,"J","55 pts",1,2,0,0
"E G S K M O Q I","EGIKMOQS",8,3,"I","18 pts",1,2,0,0
"J H L P N R T V","HJLNPRTV",8,3,"L","34 pts",1,2,0,0
"I K M G O Q S","GIKMOQS",7,7,"S","54 pts",1,2,0,0
"G U I K M O Q S","GIKMOQSU",8,2,"I","10 pts",1,2,0,1
"F J L N P R H T","FHJLNPRT",8,2,"H","88 pts",1,2,0,1
"E I G M K O","EGIKMO",6,2,"G","32 pts",1,2,0,1
"D F H P L N J R T","DFHJLNPRT",9,7,"P","35 pts",1,2,0,1
"K I M Q O S","IKMOQS",6,3,"M","10 pts",1,2,0,1
"G M I K O Q S U W","GIKMOQSUW",9,5,"O","32 pts",1,2,0,1
"T P R","PRT",3,1,"P","89 pts",1,2,0,1
"K I G M","GIKM",4,3,"K","40 pts",1,2,0,0
"M K I O","IKMO",4,4,"O","38 pts",1,2,0,0
"G I K Q O M S U","GIKMOQSU",8,1,"G","43 pts",1,2,0,1
"F H L N J","FHJLN",5,5,"N","28 pts",1,2,0,1
"K Q M O S U W","KMOQSUW",7,3,"O","84 pts",1,2,0,1
"D N H J L F P R T","DFHJLNPRT",9,8,"R","57 pts",1,2,0,0
"M K I","IKM",3,1,"I","52 pts",1,2,0,1
"G I K O Q S U M W","GIKMOQSUW",9,3,"K","11 pts",1,2,0,1
"L H J N P","HJLNP",5,2,"J","12 pts",1,2,0,0
"F R J L N P H","FHJLNPR",7,5,"N","23 pts",1,2,0,1
"O U S Q","OQSU",4,3,"S","60 pts",1,2,0,0
"M Q S O","MOQS",4,3,"Q","32 pts",1,2,0,1
"I M O K Q S U W","IKMOQSUW",8,1,"I","63 pts",1,2,0,0
"D J H F L N P","DFHJLNP",7,7,"P","69 pts",1,2,0,1
"M I K","IKM",3,3,"M","35 pts",1,2,0,1
"G E K I M","EGIKM",5,1,"E","23 pts",1,2,0,0
"G I K M Q S U O","GIKMOQSU",8,3,"K","28 pts",1,2,0,1
"E G I K O M Q U S","EGIKMOQSU",9,8,"S","54 pts",1,2,0,0
"F H N L J","FHJLN",5,5,"N","39 pts",1,2,0,1
"K I O M Q","IKMOQ",5,2,"K","10 pts",1,2,0,0
"U I K M O Q S G W","GIKMOQSUW",9,9,"W","31 pts",1,2,0,1
"D F J L H N P R T","DFHJLNPRT",9,6,"N","33 pts",1,2,0,0
"D F N H J L","DFHJLN",6,4,"J","53 pts",1,2,0,1
"T J L N P R H","HJLNPRT",7,6,"R","37 pts",1,2,0,0
