"list_og","list_sort","N","cor_pos","target_letter","rewMag","Ndist","editDistance","N_filler","effort_q"
"D F H J L P R N T","DFHJLNPRT",9,4,"J","17 pts",1,2,0,1
"H P L N J R","HJLNPR",6,4,"N","18 pts",1,2,0,0
"N P L R","LNPR",4,4,"R","21 pts",1,2,0,0
"G I K O Q S M U","GIKMOQSU",8,2,"I","46 pts",1,2,0,1
"M Q S U O W","MOQSUW",6,6,"W","27 pts",1,2,0,1
"I G E","EGI",3,1,"E","30 pts",1,2,0,1
"J L P R T V N","JLNPRTV",7,7,"V","41 pts",1,2,0,0
"I E G K M","EGIKM",5,1,"E","15 pts",1,2,0,0
"G I M O Q S K U W","GIKMOQSUW",9,5,"O","10 pts",1,2,0,0
"K M O I Q S U","IKMOQSU",7,5,"Q","27 pts",1,2,0,0
"F J L N P H R T","FHJLNPRT",8,5,"N","25 pts",1,2,0,1
"H J L T P R N V","HJLNPRTV",8,6,"R","28 pts",1,2,0,1
"V F H J L N P R T","FHJLNPRTV",9,3,"J","40 pts",1,2,0,1
"L J P N R","JLNPR",5,3,"N","26 pts",1,2,0,0
"I M K O Q U S W","IKMOQSUW",8,1,"I","88 pts",1,2,0,0
"L J P N R T V","JLNPRTV",7,4,"P","60 pts",1,2,0,0
"F H D","DFH",3,2,"F","21 pts",1,2,0,1
"F J L H N P","FHJLNP",6,4,"L","16 pts",1,2,0,1
"D J F H L","DFHJL",5,5,"L","68 pts",1,2,0,1
"D L F H J N P","DFHJLNP",7,7,"P","90 pts",1,2,0,0
"H J F L","FHJL",4,1,"F","46 pts",1,2,0,0
"P L N","LNP",3,1,"L","85 pts",1,2,0,0
"G I E K M O Q S","EGIKMOQS",8,3,"I","71 pts",1,2,0,1
"P L N R","LNPR",4,3,"P","13 pts",1,2,0,1
"O K M Q","KMOQ",4,3,"O","42 pts",1,2,0,1
"Q M O","MOQ",3,1,"M","63 pts",1,2,0,0
"J L N R P V T","JLNPRTV",7,3,"N","87 pts",1,2,0,1
"L N P J","JLNP",4,1,"J","64 pts",1,2,0,1
"G I K S M O Q U W","GIKMOQSUW",9,1,"G","23 pts",1,2,0,0
"G I K M W Q S U O","GIKMOQSUW",9,9,"W","42 pts",1,2,0,0
"P R N T","NPRT",4,1,"N","23 pts",1,2,0,1
"J N P R T V L","JLNPRTV",7,3,"N","65 pts",1,2,0,0
"L J N P T R V","JLNPRTV",7,3,"N","45 pts",1,2,0,0
"H J N L R P","HJLNPR",6,6,"R","23 pts",1,2,0,1
"E O G I K M Q","EGIKMOQ",7,6,"O","47 pts",1,2,0,0
"P N L R","LNPR",4,1,"L","70 pts",1,2,0,1
"L H J N P","HJLNP",5,2,"J","20 pts",1,2,0,1
"L H J F N P","FHJLNP",6,3,"J","89 pts",1,2,0,0
"L R P N T","LNPRT",5,3,"P","69 pts",1,2,0,0
"I K G","GIK",3,1,"G","37 pts",1,2,0,0
"E I G K O M","EGIKMO",6,6,"O","86 pts",1,2,0,1
"T F H J L N P R D","DFHJLNPRT",9,9,"T","34 pts",1,2,0,0
"L R N P","LNPR",4,3,"P","56 pts",1,2,0,1
"I K O M Q S W U","IKMOQSUW",8,8,"W","64 pts",1,2,0,1
"N H J L","HJLN",4,4,"N","29 pts",1,2,0,0
"U S Q","QSU",3,2,"S","17 pts",1,2,0,0
"Q O M","MOQ",3,3,"Q","27 pts",1,2,0,1
"I U M O Q S K W","IKMOQSUW",8,1,"I","73 pts",1,2,0,0
"M O U Q S W","MOQSUW",6,3,"Q","49 pts",1,2,0,0
"H F D J L","DFHJL",5,2,"F","66 pts",1,2,0,0
"V H J L N P R T","HJLNPRTV",8,3,"L","57 pts",1,2,0,0
"R T P","PRT",3,1,"P","19 pts",1,2,0,1
"U Q S","QSU",3,1,"Q","69 pts",1,2,0,0
"J L T N P R","JLNPRT",6,2,"L","15 pts",1,2,0,1
"F P J L N H","FHJLNP",6,6,"P","61 pts",1,2,0,0
"M O K","KMO",3,1,"K","62 pts",1,2,0,1
"F H J L P R T N","FHJLNPRT",8,5,"N","35 pts",1,2,0,1
"F P H J L N","FHJLNP",6,5,"N","79 pts",1,2,0,1
"K M O S U Q W","KMOQSUW",7,7,"W","22 pts",1,2,0,1
