"list_og","list_sort","N","cor_pos","target_letter","rewMag","Ndist","editDistance","N_filler","effort_q"
"D F H L N P R T J","DFHJLNPRT",9,9,"T","22 pts",1,2,0,1
"G K I M O S Q U W","GIKMOQSUW",9,3,"K","53 pts",1,2,0,0
"M G I K O Q","GIKMOQ",6,4,"M","55 pts",1,2,0,0
"D J F H L","DFHJL",5,5,"L","57 pts",1,2,0,1
"E I G K O M Q S U","EGIKMOQSU",9,1,"E","48 pts",1,2,0,1
"G I K O Q M S U W","GIKMOQSUW",9,9,"W","77 pts",1,2,0,0
"K O Q S U M","KMOQSU",6,5,"S","22 pts",1,2,0,1
"L N J","JLN",3,1,"J","67 pts",1,2,0,0
"E O G I K M Q S","EGIKMOQS",8,8,"S","57 pts",1,2,0,1
"N P L","LNP",3,2,"N","59 pts",1,2,0,0
"E K G I","EGIK",4,4,"K","56 pts",1,2,0,0
"H L N P R J T V","HJLNPRTV",8,8,"V","19 pts",1,2,0,0
"G I K M O E Q","EGIKMOQ",7,3,"I","50 pts",1,2,0,1
"K I G M O Q S","GIKMOQS",7,5,"O","45 pts",1,2,0,1
"L N V P R T","LNPRTV",6,1,"L","85 pts",1,2,0,0
"O K M","KMO",3,2,"M","42 pts",1,2,0,1
"H N L J","HJLN",4,1,"H","41 pts",1,2,0,0
"K E G I","EGIK",4,4,"K","30 pts",1,2,0,0
"K M W O Q S U","KMOQSUW",7,7,"W","41 pts",1,2,0,1
"J H L P N","HJLNP",5,1,"H","44 pts",1,2,0,1
"D F L H J N","DFHJLN",6,3,"H","31 pts",1,2,0,0
"G I M O Q K S U W","GIKMOQSUW",9,8,"U","63 pts",1,2,0,1
"S I K M O Q G U W","GIKMOQSUW",9,5,"O","25 pts",1,2,0,0
"J L N P R T H V","HJLNPRTV",8,3,"L","68 pts",1,2,0,0
"Q O M","MOQ",3,3,"Q","28 pts",1,2,0,0
"H J L F N P R T V","FHJLNPRTV",9,7,"R","54 pts",1,2,0,0
"F H J L T P R N V","FHJLNPRTV",9,4,"L","64 pts",1,2,0,1
"G M K I","GIKM",4,2,"I","21 pts",1,2,0,1
"R P N","NPR",3,2,"P","63 pts",1,2,0,1
"I K M O U Q S","IKMOQSU",7,3,"M","71 pts",1,2,0,1
"T R P","PRT",3,1,"P","71 pts",1,2,0,1
"L H J","HJL",3,3,"L","69 pts",1,2,0,1
"I K M O G Q","GIKMOQ",6,3,"K","40 pts",1,2,0,1
"K M I O Q","IKMOQ",5,2,"K","74 pts",1,2,0,0
"O I K M G Q S","GIKMOQS",7,4,"M","47 pts",1,2,0,0
"J F H L N P","FHJLNP",6,1,"F","68 pts",1,2,0,0
"N T P R","NPRT",4,1,"N","60 pts",1,2,0,1
"F D H J N L P R","DFHJLNPR",8,4,"J","47 pts",1,2,0,0
"D F H J L N R T P","DFHJLNPRT",9,2,"F","85 pts",1,2,0,0
"H J L F","FHJL",4,2,"H","90 pts",1,2,0,0
"L J H N P R T","HJLNPRT",7,4,"N","75 pts",1,2,0,1
"I M O K Q S U","IKMOQSU",7,2,"K","39 pts",1,2,0,0
"F D H L J N P","DFHJLNP",7,7,"P","31 pts",1,2,0,1
"I K M O Q S G","GIKMOQS",7,3,"K","23 pts",1,2,0,1
"G I K E M O Q S U","EGIKMOQSU",9,5,"M","19 pts",1,2,0,1
"M O S Q W U","MOQSUW",6,3,"Q","88 pts",1,2,0,0
"N F H J L D P R","DFHJLNPR",8,7,"P","81 pts",1,2,0,1
"S U Q","QSU",3,2,"S","32 pts",1,2,0,1
"P H J L N F R T V","FHJLNPRTV",9,7,"R","51 pts",1,2,0,1
