"list_og","list_sort","N","cor_pos","target_letter","rewMag","Ndist","editDistance","N_filler","effort_q"
"D F H P L N J","DFHJLNP",7,1,"D","17 pts",1,2,0,1
"E G K I O M Q S","EGIKMOQS",8,2,"G","42 pts",1,2,0,0
"M O K Q S","KMOQS",5,3,"O","68 pts",1,2,0,0
"K Q O M","KMOQ",4,3,"O","24 pts",1,2,0,0
"L V N P R T","LNPRTV",6,5,"T","21 pts",1,2,0,1
"J N L P T R","JLNPRT",6,6,"T","68 pts",1,2,0,0
"D F T J L N P R H","DFHJLNPRT",9,6,"N","74 pts",1,2,0,1
"I K S M O Q U","IKMOQSU",7,4,"O","36 pts",1,2,0,0
"T R P","PRT",3,3,"T","49 pts",1,2,0,1
"F H D","DFH",3,2,"F","34 pts",1,2,0,0
"D H J L N F","DFHJLN",6,3,"H","27 pts",1,2,0,1
"J F H L N P R","FHJLNPR",7,6,"P","45 pts",1,2,0,1
"E I K M O G","EGIKMO",6,1,"E","32 pts",1,2,0,1
"T D F H J L N P R","DFHJLNPRT",9,1,"D","77 pts",1,2,0,1
"Q O U S","OQSU",4,1,"O","54 pts",1,2,0,0
"N L J P R T","JLNPRT",6,6,"T","20 pts",1,2,0,0
"P N L R","LNPR",4,3,"P","52 pts",1,2,0,0
"K I O M Q S U","IKMOQSU",7,7,"U","58 pts",1,2,0,1
"R J L N P","JLNPR",5,1,"J","37 pts",1,2,0,1
"J L H","HJL",3,3,"L","67 pts",1,2,0,0
"H L N J P R T","HJLNPRT",7,1,"H","22 pts",1,2,0,0
"G I E K M O Q S U","EGIKMOQSU",9,5,"M","62 pts",1,2,0,0
"G I E","EGI",3,2,"G","47 pts",1,2,0,0
"H J L T N P R V","HJLNPRTV",8,2,"J","37 pts",1,2,0,0
"P L N R","LNPR",4,4,"R","81 pts",1,2,0,1
"J H F L N P R T V","FHJLNPRTV",9,4,"L","75 pts",1,2,0,1
"D P F H J L N","DFHJLNP",7,4,"J","55 pts",1,2,0,0
"G E I K O M Q","EGIKMOQ",7,4,"K","69 pts",1,2,0,1
"J H L N R P","HJLNPR",6,1,"H","41 pts",1,2,0,0
"E I G M K O","EGIKMO",6,2,"G","76 pts",1,2,0,0
"F H L N J P R T V","FHJLNPRTV",9,1,"F","22 pts",1,2,0,1
"K I O M","IKMO",4,1,"I","87 pts",1,2,0,0
"L N P R J","JLNPR",5,4,"P","81 pts",1,2,0,0
"G K I O M Q S","GIKMOQS",7,6,"Q","56 pts",1,2,0,1
"M O K Q","KMOQ",4,1,"K","85 pts",1,2,0,1
"H F D","DFH",3,3,"H","17 pts",1,2,0,0
"R L N P","LNPR",4,1,"L","80 pts",1,2,0,1
"H J L F N P R T","FHJLNPRT",8,1,"F","43 pts",1,2,0,0
"I K O M Q U S W","IKMOQSUW",8,8,"W","86 pts",1,2,0,0
"H F D J L","DFHJL",5,5,"L","52 pts",1,2,0,1
"D F J H L P N R T","DFHJLNPRT",9,2,"F","57 pts",1,2,0,1
"H J L R N P","HJLNPR",6,1,"H","28 pts",1,2,0,0
"G E K I M O","EGIKMO",6,2,"G","80 pts",1,2,0,1
"K M I O Q S","IKMOQS",6,3,"M","82 pts",1,2,0,1
"K M U Q S O","KMOQSU",6,3,"O","48 pts",1,2,0,1
"N F H J L D P","DFHJLNP",7,5,"L","78 pts",1,2,0,0
